,3G SPECIAL SITUATIONS FUND IV SUB/RED,ibov
,PX_LAST,PX_LAST
Date,,
2016-11-18,,59961.8
2016-11-21,,61070.3
2016-11-21,,61070.3
2016-11-22,,61954.5
2016-11-22,,61954.5
2016-11-23,,61985.9
2016-11-23,,61985.9
2016-11-24,,61395.5
2016-11-24,,61395.5
2016-11-25,,61559.1
2016-11-25,,61559.1
2016-11-28,,62855.5
2016-11-28,,62855.5
2016-11-29,,60986.5
2016-11-29,,60986.5
2016-11-30,1764.572035,61906.4
2016-11-30,1764.572035,61906.4
2016-12-01,,59506.5
2016-12-01,,59506.5
2016-12-02,,60316.1
2016-12-02,,60316.1
2016-12-05,,59831.7
2016-12-05,,59831.7
2016-12-06,,61088.2
2016-12-06,,61088.2
2016-12-07,,61414.4
2016-12-07,,61414.4
2016-12-08,,60676.6
2016-12-08,,60676.6
2016-12-09,,60500.6
2016-12-09,,60500.6
2016-12-12,,59178.6
2016-12-12,,59178.6
2016-12-13,,59280.6
2016-12-13,,59280.6
2016-12-14,,58212.1
2016-12-14,,58212.1
2016-12-15,,58396.2
2016-12-15,,58396.2
2016-12-16,,58389.0
2016-12-16,,58389.0
2016-12-19,,57111.0
2016-12-19,,57111.0
2016-12-20,,57582.9
2016-12-20,,57582.9
2016-12-21,,57646.5
2016-12-21,,57646.5
2016-12-22,,57255.2
2016-12-22,,57255.2
2016-12-23,,57937.1
2016-12-23,,57937.1
2016-12-26,,58620.3
2016-12-26,,58620.3
2016-12-27,,58696.7
2016-12-27,,58696.7
2016-12-28,,59781.6
2016-12-28,,59781.6
2016-12-29,,60227.3
2016-12-29,,60227.3
2016-12-30,1723.5789,60227.3
2016-12-30,1723.5789,60227.3
2017-01-02,,59588.7
2017-01-02,,59588.7
2017-01-03,,61813.8
2017-01-03,,61813.8
2017-01-04,,61589.1
2017-01-04,,61589.1
2017-01-05,,62071.0
2017-01-05,,62071.0
2017-01-06,,61665.4
2017-01-06,,61665.4
2017-01-09,,61700.3
2017-01-09,,61700.3
2017-01-10,,62131.8
2017-01-10,,62131.8
2017-01-11,,62446.3
2017-01-11,,62446.3
2017-01-12,,63953.9
2017-01-12,,63953.9
2017-01-13,,63651.5
2017-01-13,,63651.5
2017-01-16,,63831.3
2017-01-16,,63831.3
2017-01-17,,64354.3
2017-01-17,,64354.3
2017-01-18,,64149.6
2017-01-18,,64149.6
2017-01-19,,63950.9
2017-01-19,,63950.9
2017-01-20,,64521.2
2017-01-20,,64521.2
2017-01-23,,65748.6
2017-01-23,,65748.6
2017-01-24,,65840.1
2017-01-24,,65840.1
2017-01-25,,65840.1
2017-01-25,,65840.1
2017-01-26,,66190.6
2017-01-26,,66190.6
2017-01-27,,66034.0
2017-01-27,,66034.0
2017-01-30,,64301.7
2017-01-30,,64301.7
2017-01-31,1723.5789,64670.8
2017-01-31,1723.5789,64670.8
