date_CSH2169;CSH2169 BZ Equity;date_AMARAUR;AMARAUR BZ Equity;date_HPRFIC;HPRFIC BZ Equity;date_JULBGEN;JULBGEN BZ Equity;date_LEGCAPF;LEGCAPF BZ Equity;date_KPZETAF;KPZETAF BZ Equity;date_LSSTLS;LSSTLS BZ Equity;date_APXEQHF;APXEQHF BZ Equity;date_LSPLFIA;LSPLFIA BZ Equity;date_KADFIML;KADFIML BZ Equity;date_DIDOLFI;DIDOLFI BZ Equity;date_QUAADCP;QUAADCP BZ Equity;date_NWCSHST;NWCSHST BZ Equity;date_BEMFIRD;BEMFIRD BZ Equity
02/06/2021;1,2428214;19/02/2021;1,1519211;26/04/2019;18,486184;;;04/03/2021;1,33599457;26/04/2019;3,810282;26/04/2019;188,915984;26/04/2019;2,40888;21/08/2019;1,409158;26/04/2019;4,121741;26/04/2019;3,20323;24/11/2020;1,10112395;26/04/2019;127,862994;26/04/2019;2,918952
04/06/2021;1,2434615;22/02/2021;1,1525561;29/04/2019;18,4644;;;05/03/2021;1,33658075;29/04/2019;3,804187;29/04/2019;188,447065;29/04/2019;2,411272;22/08/2019;1,407712;29/04/2019;4,121272;29/04/2019;3,203471;25/11/2020;1,10135142;29/04/2019;127,893333;29/04/2019;2,919663
07/06/2021;1,2450504;23/02/2021;1,1518555;30/04/2019;18,464121;;;08/03/2021;1,32176694;30/04/2019;3,812223;30/04/2019;187,705791;30/04/2019;2,415394;23/08/2019;1,401209;30/04/2019;4,115328;30/04/2019;3,194887;26/11/2020;1,10161464;30/04/2019;127,923674;30/04/2019;2,92037
08/06/2021;1,2407974;24/02/2021;1,1525601;02/05/2019;18,512417;;;09/03/2021;1,32546201;02/05/2019;3,800949;02/05/2019;187,662063;02/05/2019;2,414957;26/08/2019;1,408476;02/05/2019;4,119073;02/05/2019;3,201234;27/11/2020;1,10185628;02/05/2019;127,954073;02/05/2019;2,92108
09/06/2021;1,2396477;25/02/2021;1,1481394;03/05/2019;18,47355;;;10/03/2021;1,326143;03/05/2019;3,816158;03/05/2019;189,485401;03/05/2019;2,427048;27/08/2019;1,408534;03/05/2019;4,111828;03/05/2019;3,187327;30/11/2020;1,10178321;03/05/2019;127,985813;03/05/2019;2,921789
10/06/2021;1,2388238;26/02/2021;1,1461449;06/05/2019;18,481913;;;11/03/2021;1,34099998;06/05/2019;3,801075;06/05/2019;188,762408;06/05/2019;2,428952;28/08/2019;1,407131;06/05/2019;4,111129;06/05/2019;3,186475;01/12/2020;1,10209776;06/05/2019;128,016204;06/05/2019;2,922499
11/06/2021;1,236902;01/03/2021;1,1529444;07/05/2019;18,482125;;;12/03/2021;1,34247755;07/05/2019;3,796751;07/05/2019;189,887389;07/05/2019;2,428395;29/08/2019;1,408748;07/05/2019;4,095714;07/05/2019;3,15951;02/12/2020;1,10240508;07/05/2019;128,046472;07/05/2019;2,923209
14/06/2021;1,242312;02/03/2021;1,1523427;08/05/2019;18,426848;;;15/03/2021;1,34384608;08/05/2019;3,828588;08/05/2019;189,305781;08/05/2019;2,431734;30/08/2019;1,406097;08/05/2019;4,074918;08/05/2019;3,13008;03/12/2020;1,10282583;08/05/2019;128,07675;08/05/2019;2,923918
15/06/2021;1,2426038;03/03/2021;1,1516832;09/05/2019;18,426259;;;16/03/2021;1,34300667;09/05/2019;3,829144;09/05/2019;192,003696;09/05/2019;2,435676;02/09/2019;1,407479;09/05/2019;4,051154;09/05/2019;3,092732;04/12/2020;1,1028852;09/05/2019;128,107122;09/05/2019;2,924628
16/06/2021;1,2443019;04/03/2021;1,1499075;10/05/2019;18,421711;;;17/03/2021;1,34411521;10/05/2019;3,809265;10/05/2019;190,83571;10/05/2019;2,42914;03/09/2019;1,408043;10/05/2019;4,046237;10/05/2019;3,080331;07/12/2020;1,10312306;10/05/2019;128,137785;10/05/2019;2,925339
17/06/2021;1,2383027;05/03/2021;1,1509142;13/05/2019;18,370684;;;18/03/2021;1,3421185;13/05/2019;3,78224;13/05/2019;190,045023;13/05/2019;2,408048;04/09/2019;1,412939;13/05/2019;4,047561;13/05/2019;3,073231;08/12/2020;1,10326559;13/05/2019;128,168113;13/05/2019;2,926049
18/06/2021;1,2324915;08/03/2021;1,1501804;14/05/2019;18,380619;;;19/03/2021;1,34056738;14/05/2019;3,777384;14/05/2019;190,086137;14/05/2019;2,410565;05/09/2019;1,416124;14/05/2019;4,05234;14/05/2019;3,077369;09/12/2020;1,10332117;14/05/2019;128,198464;14/05/2019;2,926758
21/06/2021;1,2386202;09/03/2021;1,1507435;15/05/2019;18,380622;;;22/03/2021;1,33658985;15/05/2019;3,771845;15/05/2019;190,236021;15/05/2019;2,410022;06/09/2019;1,417121;15/05/2019;4,045059;15/05/2019;3,060671;10/12/2020;1,1034941;15/05/2019;128,228801;15/05/2019;2,927468
22/06/2021;1,2365812;10/03/2021;1,1507917;16/05/2019;18,306483;;;23/03/2021;1,33484646;16/05/2019;3,756077;16/05/2019;188,692064;16/05/2019;2,395823;09/09/2019;1,415648;16/05/2019;4,046151;16/05/2019;3,059542;11/12/2020;1,10386469;16/05/2019;128,259365;16/05/2019;2,92818
23/06/2021;1,2378036;11/03/2021;1,1531946;17/05/2019;18,232595;;;24/03/2021;1,32386506;17/05/2019;3,746119;17/05/2019;189,48899;17/05/2019;2,389787;10/09/2019;1,416567;17/05/2019;4,05278;17/05/2019;3,069329;14/12/2020;1,10396069;17/05/2019;128,28981;17/05/2019;2,92889
24/06/2021;1,2424228;12/03/2021;1,1524849;20/05/2019;18,248462;;;25/03/2021;1,32407412;20/05/2019;3,762057;20/05/2019;189,660631;20/05/2019;2,395473;11/09/2019;1,419863;20/05/2019;4,054458;20/05/2019;3,075026;15/12/2020;1,10422279;20/05/2019;128,312486;20/05/2019;2,929601
25/06/2021;1,242161;15/03/2021;1,1537931;21/05/2019;18,290825;;;26/03/2021;1,32505336;21/05/2019;3,787903;21/05/2019;190,568912;21/05/2019;2,405315;12/09/2019;1,420135;21/05/2019;4,070009;21/05/2019;3,105046;16/12/2020;1,10423214;21/05/2019;128,350666;21/05/2019;2,930313
28/06/2021;1,2421833;16/03/2021;1,1552835;22/05/2019;18,292524;;;29/03/2021;1,31952233;22/05/2019;3,780394;22/05/2019;190,892035;22/05/2019;2,40859;13/09/2019;1,420725;22/05/2019;4,06958;22/05/2019;3,105128;17/12/2020;1,10426761;22/05/2019;128,381107;22/05/2019;2,931026
29/06/2021;1,2429778;17/03/2021;1,1531541;23/05/2019;18,344572;;;30/03/2021;1,32601813;23/05/2019;3,770009;23/05/2019;189,770975;23/05/2019;2,405482;16/09/2019;1,421498;23/05/2019;4,069841;23/05/2019;3,105224;18/12/2020;1,10438601;23/05/2019;128,411442;23/05/2019;2,931736
30/06/2021;1,2404331;18/03/2021;1,1489661;24/05/2019;18,359192;;;31/03/2021;1,32842716;24/05/2019;3,772875;24/05/2019;188,834231;24/05/2019;2,39809;17/09/2019;1,421295;24/05/2019;4,073409;24/05/2019;3,109559;21/12/2020;1,10455722;24/05/2019;128,441769;24/05/2019;2,932448
01/07/2021;1,2404194;19/03/2021;1,1496517;27/05/2019;18,36968;;;01/04/2021;1,32969373;27/05/2019;3,777568;27/05/2019;188,809638;27/05/2019;2,401151;18/09/2019;1,421287;27/05/2019;4,075482;27/05/2019;3,112749;22/12/2020;1,1053174;27/05/2019;128,472909;27/05/2019;2,933159
02/07/2021;1,242366;22/03/2021;1,1484178;28/05/2019;18,53096;;;05/04/2021;1,32837866;28/05/2019;3,801322;28/05/2019;188,298738;28/05/2019;2,404343;19/09/2019;1,419428;28/05/2019;4,089697;28/05/2019;3,139254;23/12/2020;1,10559657;28/05/2019;128,503322;28/05/2019;2,933871
05/07/2021;1,2418627;23/03/2021;1,1462892;29/05/2019;18,487727;;;06/04/2021;1,32960777;29/05/2019;3,806854;29/05/2019;188,281535;29/05/2019;2,404211;20/09/2019;1,421319;29/05/2019;4,093801;29/05/2019;3,147141;24/12/2020;1,1057226;29/05/2019;128,533528;29/05/2019;2,934582
06/07/2021;1,2319047;24/03/2021;1,1450529;30/05/2019;18,488562;;;07/04/2021;1,32984453;30/05/2019;3,807234;30/05/2019;187,592274;30/05/2019;2,414739;23/09/2019;1,422535;30/05/2019;4,092349;30/05/2019;3,145445;28/12/2020;1,10566339;30/05/2019;128,567677;30/05/2019;2,935294
07/07/2021;1,2343177;25/03/2021;1,1453668;31/05/2019;18,601843;;;08/04/2021;1,33435495;31/05/2019;3,792826;31/05/2019;187,966025;31/05/2019;2,418647;24/09/2019;1,420086;31/05/2019;4,098441;31/05/2019;3,158176;29/12/2020;1,10591963;31/05/2019;128,597993;31/05/2019;2,936006
08/07/2021;1,2279974;26/03/2021;1,1453072;03/06/2019;18,63068;;;09/04/2021;1,33474392;03/06/2019;3,805878;03/06/2019;187,814825;03/06/2019;2,419042;25/09/2019;1,420173;03/06/2019;4,101457;03/06/2019;3,162983;30/12/2020;1,10600669;03/06/2019;128,633378;03/06/2019;2,936719
09/07/2021;1,2323061;29/03/2021;1,1438273;04/06/2019;18,743012;;;12/04/2021;1,33518553;04/06/2019;3,82152;04/06/2019;187,586414;04/06/2019;2,422077;26/09/2019;1,419931;04/06/2019;4,113888;04/06/2019;3,181984;31/12/2020;1,10613304;04/06/2019;128,675408;04/06/2019;2,937435
12/07/2021;1,2353402;30/03/2021;1,1450988;05/06/2019;18,612747;;;13/04/2021;1,33266057;05/06/2019;3,80754;05/06/2019;187,511911;05/06/2019;2,421731;27/09/2019;1,42128;05/06/2019;4,104253;05/06/2019;3,166213;04/01/2021;1,10629544;05/06/2019;128,689401;05/06/2019;2,938147
