;paiva;ibov;;;
05/05/2015;1,659713;58051,6;-0,279266337;;
05/05/2015;1,659713;58051,6;-0,279266337;;
06/05/2015;1,652086;57103,1;-0,737520286;;
06/05/2015;1,652086;57103,1;-0,737520286;;
06/05/2015;1,652086;57103,1;-0,737520286;;
06/05/2015;1,652086;57103,1;-0,737520286;;
07/05/2015;1,653907;56921,4;-0,628108926;;
07/05/2015;1,653907;56921,4;-0,628108926;;
07/05/2015;1,653907;56921,4;-0,628108926;;
07/05/2015;1,653907;56921,4;-0,628108926;;
08/05/2015;1,664683;57149,3;0;;
08/05/2015;1,664683;57149,3;0;;
08/05/2015;1,664683;57149,3;0;;
08/05/2015;1,664683;57149,3;0;;
11/05/2015;1,663463;57197,1;-0,073287226;;
11/05/2015;1,663463;57197,1;-0,073287226;;
11/05/2015;1,663463;57197,1;-0,073287226;;
11/05/2015;1,663463;57197,1;-0,073287226;;
12/05/2015;1,659802;56792,1;-0,293208977;;
12/05/2015;1,659802;56792,1;-0,293208977;;
12/05/2015;1,659802;56792,1;-0,293208977;;
12/05/2015;1,659802;56792,1;-0,293208977;;
13/05/2015;1,658451;56372;-0,37436557;;
13/05/2015;1,658451;56372;-0,37436557;;
13/05/2015;1,658451;56372;-0,37436557;;
13/05/2015;1,658451;56372;-0,37436557;;
14/05/2015;1,663238;56656,6;-0,086803313;;
14/05/2015;1,663238;56656,6;-0,086803313;;
14/05/2015;1,663238;56656,6;-0,086803313;;
14/05/2015;1,663238;56656,6;-0,086803313;;
15/05/2015;1,670361;57248,6;0;;
15/05/2015;1,670361;57248,6;0;;
15/05/2015;1,670361;57248,6;0;;
15/05/2015;1,670361;57248,6;0;;
18/05/2015;1,661161;56204,2;-0,550779143;;
18/05/2015;1,661161;56204,2;-0,550779143;;
18/05/2015;1,661161;56204,2;-0,550779143;;
18/05/2015;1,661161;56204,2;-0,550779143;;
19/05/2015;1,651827;55498,8;-1,109580504;;
19/05/2015;1,651827;55498,8;-1,109580504;;
19/05/2015;1,651827;55498,8;-1,109580504;;
19/05/2015;1,651827;55498,8;-1,109580504;;
20/05/2015;1,647564;54901;-1,364794796;;
20/05/2015;1,647564;54901;-1,364794796;;
20/05/2015;1,647564;54901;-1,364794796;;
20/05/2015;1,647564;54901;-1,364794796;;
21/05/2015;1,652269;55112,1;-1,083119158;;
21/05/2015;1,652269;55112,1;-1,083119158;;
21/05/2015;1,652269;55112,1;-1,083119158;;
21/05/2015;1,652269;55112,1;-1,083119158;;
