,paiva,ibov
,PX_LAST,PX_LAST
Date,,
2015-08-24,1.54851,44336.5
2015-08-24,1.54851,44336.5
2015-08-25,1.558228,44544.9
2015-08-25,1.558228,44544.9
2015-08-25,1.558228,44544.9
2015-08-25,1.558228,44544.9
2015-08-26,1.581549,46038.1
2015-08-26,1.581549,46038.1
2015-08-26,1.581549,46038.1
2015-08-26,1.581549,46038.1
2015-08-27,1.60298,47715.3
2015-08-27,1.60298,47715.3
2015-08-27,1.60298,47715.3
2015-08-27,1.60298,47715.3
2015-08-28,1.592393,47153.9
2015-08-28,1.592393,47153.9
2015-08-28,1.592393,47153.9
2015-08-28,1.592393,47153.9
2015-08-31,1.57555,46625.5
2015-08-31,1.57555,46625.5
2015-08-31,1.57555,46625.5
2015-08-31,1.57555,46625.5
2015-09-01,1.552681,45477.1
2015-09-01,1.552681,45477.1
2015-09-01,1.552681,45477.1
2015-09-01,1.552681,45477.1
2015-09-02,1.553991,46464.0
2015-09-02,1.553991,46464.0
2015-09-02,1.553991,46464.0
2015-09-02,1.553991,46464.0
2015-09-03,1.569848,47365.9
2015-09-03,1.569848,47365.9
2015-09-03,1.569848,47365.9
2015-09-03,1.569848,47365.9
2015-09-04,1.553351,46497.7
2015-09-04,1.553351,46497.7
2015-09-04,1.553351,46497.7
2015-09-04,1.553351,46497.7
2015-09-07,1.553351,46497.7
2015-09-07,1.553351,46497.7
2015-09-07,1.553351,46497.7
2015-09-07,1.553351,46497.7
2015-09-08,1.553367,46762.1
2015-09-08,1.553367,46762.1
2015-09-08,1.553367,46762.1
2015-09-08,1.553367,46762.1
2015-09-09,1.558405,46657.1
2015-09-09,1.558405,46657.1
2015-09-09,1.558405,46657.1
2015-09-09,1.558405,46657.1
2015-09-10,1.551904,46504.0
2015-09-10,1.551904,46504.0
2015-09-10,1.551904,46504.0
2015-09-10,1.551904,46504.0
2015-09-11,1.561557,46400.5
2015-09-11,1.561557,46400.5
2015-09-11,1.561557,46400.5
2015-09-11,1.561557,46400.5
2015-09-14,1.583025,47281.5
2015-09-14,1.583025,47281.5
2015-09-14,1.583025,47281.5
2015-09-14,1.583025,47281.5
2015-09-15,1.581974,47364.1
2015-09-15,1.581974,47364.1
2015-09-15,1.581974,47364.1
2015-09-15,1.581974,47364.1
2015-09-16,1.603359,48553.1
2015-09-16,1.603359,48553.1
2015-09-16,1.603359,48553.1
2015-09-16,1.603359,48553.1
